"Translate example",翻译例
"Project name",项目名称
Home,家
"About us",关于我们
Contacts,联系人
"Fish text, meet!",鱼的文本，满足!
"The participation of specialists in the formation of forms of development. Thus, participation in the formation of positions occupying positions in relation to assigned tasks. A diverse and rich experience.","参加的专家中形成的种形式的发展。 因此，参与形成的职位占据的位置关于分配的任务。 一个多样和丰富的经验。"
"Comrades! participation in the formation of appropriate conditions for activation. They require progressive development. Interesting practice shows that the models are interesting. Interesting experiments show progress in development. A diverse and rich experience of constant quantitative growth and the scope of our activity plays an important role in shaping the existing financial and administrative conditions.","同志们！ 参与形成适当的条件，用于激活。 他们需要逐渐发展。 有趣的实践表明，模型是有趣的。 有趣的实验显示的进展的发展。 一个多样和丰富经验的数量不断增长和范围的活动中发挥着重要的作用在塑造现有的财务和行政条件。"
"The new organizational model is an interesting experiment in testing new proposals. Structures and assessments make it possible to assess the significance of existing financial and administrative conditions. Everyday practice shows that the constant outreach support of our activities adequately determines the creation of positions held by participants in relation to the tasks assigned. Participation of specialists in the formation of positions holding positions in relation to assigned tasks. Likewise, the constant outreach to our business is an interesting experiment in verifying the relevant conditions for activation.","新的组织模式是一个有趣的实验中的测试新的建议。 结构和评估使人能够评价的重要意义的现有财务和行政条件。 日常实践表明，不断宣传支持我们活动的充分确定所创造的职位与会者在关系到任务分配。 参与的专家中形成的立场保持位置关于分配的任务。 同样，不断宣传我们的事业是有趣的试验中验证的相关条件，用于激活。"
"Tasks play an important role in the formation of appropriate conditions for activation. Training requires the identification and refinement of development models. Constantly outreach support for our activities allows us to perform important tasks in developing development models. Thus, the further development of various forms of activity is an interesting experiment in testing development models. Implementation and modernization of mass participation systems. However, formal activity plays an important role in the formation of forms of development.","任务中发挥重要作用，以形成适当的条件，用于激活。 培训需要的识别和精细化的发展模式。 不断宣传支持，为我们的活动使我们执行重要任务，在发展中发展模式。 因此，进一步发展各种形式的活动是一个有趣的实验在测试的发展模式。 执行和现代化的群众参与系统。 然而，正规活动中发挥着重要作用形成的种形式的发展。"
"Experimental verification of compliance with activation conditions. The structure of the organization allows us to assess the importance of mass participation systems. The varied and rich experience in implementing experimental planning targets is an interesting experiment in testing systems of mass participation. An interesting experimental test of mass participation systems.","实验核查的遵守的活条件。 该组织的结构使我们能够评估重要性的群众参与系统。 多样化和丰富的经验，在实施实验计划的目标是一个有趣的实验，在试验系统的质量参与。 一个有趣的试验性测试的群众参与系统。"
Reviews,评论
"We have 10 reviews",我们有10个评论
"We have 20 reviews",我们有20个评论
"We have 13 reviews",我们已经评论13
Navigation,导航
Head,头
Information,的信息
Other,其他的
Water,水
Salt,盐
"Company 2013",公司2013年
